winner_name,wins,aces,double_faults,service_points,1st_serves_made,1st_serve_points_won,2nd_serve_points_won,service_games_won,break_points_saved,break_points_faced,height
Federico Delbonis,11,3.6363636363636362,2.8181818181818183,69.81818181818181,48.81818181818182,35.0,11.818181818181818,11.272727272727273,3.1818181818181817,4.818181818181818,190.0
Feliciano Lopez,3,11.0,3.3333333333333335,72.33333333333333,44.0,36.0,15.333333333333334,12.0,4.666666666666667,6.0,188.0
Felipe Meligeni Alves,3,10.333333333333334,1.3333333333333333,78.33333333333333,54.666666666666664,42.666666666666664,10.0,11.333333333333334,4.666666666666667,5.666666666666667,185.0
Felix Auger Aliassime,74,11.205882352941176,3.4411764705882355,76.98529411764706,48.98529411764706,38.94117647058823,14.75,12.5,3.1176470588235294,4.367647058823529,193.0
Fernando Verdasco,5,3.8,2.4,79.8,51.2,36.4,15.0,12.0,4.6,6.6,188.0
Filip Cristian Jianu,2,,,,,,,,,,180.0
Filip Horansky,1,1.0,2.0,66.0,49.0,34.0,10.0,11.0,0.0,2.0,175.0
Filip Krajinovic,22,5.2727272727272725,1.5,85.5,56.45454545454545,41.22727272727273,16.636363636363637,13.590909090909092,3.909090909090909,5.636363636363637,185.0
Filip Misolic,7,4.0,2.6666666666666665,84.66666666666667,50.333333333333336,36.833333333333336,17.0,12.333333333333334,5.833333333333333,8.5,
Fitriadi M Rifqi,1,,,,,,,,,,
Flavio Cobolli,4,3.25,1.75,67.25,37.0,27.75,16.25,10.25,4.75,6.25,
Frances Tiafoe,72,9.394366197183098,2.056338028169014,82.11267605633803,48.25352112676056,37.774647887323944,19.112676056338028,13.211267605633802,3.3380281690140845,4.647887323943662,188.0
Francesco Passaro,4,4.75,5.25,81.25,46.75,35.75,18.5,12.25,3.5,5.5,
Francisco Cerundolo,56,3.381818181818182,3.309090909090909,79.0,50.67272727272727,35.50909090909091,14.872727272727273,12.181818181818182,4.654545454545454,6.781818181818182,185.0
Franco Agamenone,3,1.3333333333333333,2.3333333333333335,82.0,54.666666666666664,36.0,15.0,12.333333333333334,6.666666666666667,9.666666666666666,
Gabriel Diallo,1,8.0,3.0,69.0,44.0,34.0,14.0,12.0,2.0,4.0,
Gael Monfils,23,8.391304347826088,4.043478260869565,75.95652173913044,45.73913043478261,35.56521739130435,15.91304347826087,12.217391304347826,3.3043478260869565,4.6521739130434785,193.0
Genaro Alberto Olivieri,2,3.0,3.0,157.0,114.0,78.5,23.5,24.0,6.5,11.0,
Gianluca Mager,2,8.5,3.5,94.0,58.5,45.5,18.0,15.0,3.5,5.0,185.0
Gijs Brouwer,11,4.545454545454546,1.7272727272727273,66.81818181818181,46.81818181818182,34.36363636363637,11.181818181818182,10.636363636363637,2.6363636363636362,3.4545454545454546,
Gilles Simon,7,4.0,2.5714285714285716,99.85714285714286,63.142857142857146,43.285714285714285,19.857142857142858,15.428571428571429,5.285714285714286,8.857142857142858,183.0
Giulio Zeppieri,4,5.75,2.25,91.25,55.5,40.75,22.0,15.25,3.5,5.0,185.0
Gonzalo Bueno,1,,,,,,,,,,
Gregoire Barrere,20,5.25,2.2,84.65,52.75,39.65,17.8,13.35,3.15,4.9,183.0
Grigor Dimitrov,54,7.830188679245283,3.0754716981132075,74.50943396226415,45.679245283018865,36.9811320754717,15.660377358490566,12.433962264150944,2.4150943396226414,3.6037735849056602,188.0
